test_num,select_type,select_args,found,initial_pop,in_min_len,in_max_len,lambda,max_mut_len,tests,mse,exec_time,gen,limit
36,elitism,4000,1,4000,2,5,14000,5,100,4.8396924684100174e-30,187.57878960200105,230,5
37,elitism,4000,1,4000,2,5,14000,5,100,7.655925900049029e-30,184.7808135209998,230,5
38,elitism,4000,1,4000,2,5,14000,5,100,6.409772188832713e-30,194.18057721300102,230,5
39,elitism,4000,0,4000,2,5,14000,5,100,19.948256398957206,192.86479280999993,230,5
40,elitism,4000,1,4000,2,5,14000,5,100,7.70325755436229e-30,188.9846586370004,230,5
1,elitism,4000,1,4000,2,5,9600,5,100,1.300464935648037e-29,1093.2319031160005,230,90
1,elitism,4000,1,4000,2,5,9600,5,100,6.725070031888235e-30,887.203514791996,230,90
2,elitism,4000,1,4000,2,5,9600,5,100,7.188772332738461e-30,1027.4602572639997,230,90
1,elitism,4000,1,4000,2,5,9600,5,100,7.671949637186332e-30,171.40234555600182,100,20
2,elitism,4000,1,4000,2,5,9600,5,100,4.9737988222975894e-30,128.0598057610041,100,20
1,elitism,4000,1,4000,2,5,4000,5,100,1.690137570923929e-29,49.173117033999006,100,20
2,elitism,4000,1,4000,2,5,4000,5,100,1.1522823449829277e-29,52.891411269993114,100,20
3,elitism,4000,1,4000,2,5,4000,5,100,1.0669621077026176e-29,44.27846839499398,100,20
4,elitism,4000,0,4000,2,5,4000,5,100,4.869216561231614,55.895401526999194,100,20
5,elitism,4000,1,4000,2,5,4000,5,100,1.7991482872641573e-29,63.25737664799817,100,20
1,elitism,4000,1,4000,2,5,9600,5,100,5.930539188910948e-30,132.99503107199962,230,5
2,elitism,4000,1,4000,2,5,9600,5,100,5.930539188910948e-30,133.31819151699983,230,5
3,elitism,4000,1,4000,2,5,9600,5,100,1.0258673849212606e-29,155.5574833189994,230,5
4,elitism,4000,1,4000,2,5,9600,5,100,4.863358295566648e-30,153.28532268300023,230,5
5,elitism,4000,1,4000,2,5,9600,5,100,1.026730201536346e-29,152.11082847300077,230,5
6,elitism,4000,1,4000,2,5,9600,5,100,7.192716637264567e-30,142.8116372909999,230,5
7,elitism,4000,0,4000,2,5,9600,5,100,14.982148654255834,224.80588775999968,230,5
8,elitism,4000,0,4000,2,5,9600,5,100,2.139428641435933,266.8684121040005,230,5
9,elitism,4000,0,4000,2,5,9600,5,100,14.651048300180396,225.51732211599938,230,5
10,elitism,4000,1,4000,2,5,9600,5,100,6.025202497537469e-30,146.06927397300024,230,5
11,elitism,4000,1,4000,2,5,9600,5,100,1.0906032829559599e-29,176.28813313799947,230,5
12,elitism,4000,1,4000,2,5,9600,5,100,5.898984752702107e-30,143.1551285609994,230,5
13,elitism,4000,0,4000,2,5,9600,5,100,4.02510202358177,227.80801074300052,230,5
14,elitism,4000,0,4000,2,5,9600,5,100,16.914823937788107,200.04955569899994,230,5
15,elitism,4000,1,4000,2,5,9600,5,100,4.5714797606348735e-30,145.66657612699964,230,5
